Depth_m,RockType,Formation,NaturalGamma_API,SP_mV,SPResistance_Ohm,FluidResistivity_Ohm,Temperature_DegC,Res8_Ohm-m,Res16_Ohm-m,Res32_Ohm-m,Res64_Ohm-m,NearDensity_gcc,FarDensity_gcc,MS_mCGS
7.8,MS_B_SCH,Menihek Fm (HW),311.868,147.375,-999,-999,-999,-999,-999,-999,-999,2.69629,2.68244,0.201979
8,MS_B_SCH,Menihek Fm (HW),290.243,145.375,-999,-999,-999,-999,-999,-999,-999,2.71381,2.71279,0.232668
8.2,MS_B_SCH,Menihek Fm (HW),252.25,140.625,-999,-999,-999,-999,-999,-999,-999,2.75687,2.7281,0.230927
8.4,MS_B_SCH,Menihek Fm (HW),193.14,135,-999,-999,-999,-999,-999,-999,-999,2.76645,2.65252,0.276198
8.6,MS_B_SCH,Menihek Fm (HW),258.828,129.5,-999,-999,-999,-999,-999,-999,539295,2.51283,2.62399,0.225485
8.8,MS_B_SCH,Menihek Fm (HW),256.501,123.75,-999,-999,-999,-999,-999,-999,270758,2.60199,2.58747,0.261616
9,MS_B_SCH,Menihek Fm (HW),276.357,119.875,-999,-999,-999,-999,-999,207332,121757,2.77611,2.70609,0.283381
9.2,MS_B_SCH,Menihek Fm (HW),281.147,120.875,-999,-999,-999,126190,169288,217294,391148,2.75093,2.67952,0.350417
9.4,MS_B_SCH,Menihek Fm (HW),251.344,120.5,-999,-999,-999,124161,174103,221426,554147,2.73387,2.69965,0.377406
9.6,MS_B_SCH,Menihek Fm (HW),229.587,114.125,84930.1,145.122,4.06738,120186,177179,212896,554611,2.74454,2.69498,0.276198
9.8,MS_B_SCH,Menihek Fm (HW),254.03,112.125,83910.3,145.107,4.05371,111408,170039,216261,525789,2.69482,2.72077,0.216344
10,MS_B_SCH,Menihek Fm (HW),211.5,117.5,80738.3,145.099,4.04785,100325,169650,209452,457038,2.70498,2.69938,0.270757
10.2,MS_B_SCH,Menihek Fm (HW),273.841,121.375,79743.3,145.077,4.06934,95028.7,166153,194409,376383,2.75544,2.79185,0.240068
10.4,MS_B_SCH,Menihek Fm (HW),244.035,123.375,82904.3,145.069,4.06543,89986.6,159030,197809,387259,2.81465,2.77464,0.303187
10.6,MS_B_SCH,Menihek Fm (HW),231.533,121,83963.3,145.077,4.10547,87495,165361,204181,189362,2.74176,2.79245,0.312328
